,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type
9,0.84,0.716,0.7272727272727273,google,8.003174987020373,semeval2012,relbert_output/ckpt/bert_custom_b/epoch_2,average_no_mask,
10,0.31155778894472363,0.31906614785992216,0.3183183183183183,bats,21.854734010334255,semeval2012,relbert_output/ckpt/bert_custom_c/epoch_2,average_no_mask,
11,0.1891891891891892,0.21068249258160238,0.20855614973262032,sat,21.854734010334255,semeval2012,relbert_output/ckpt/bert_custom_c/epoch_2,average_no_mask,
12,0.2916666666666667,0.3157894736842105,0.3134920634920635,u2,21.854734010334255,semeval2012,relbert_output/ckpt/bert_custom_c/epoch_2,average_no_mask,
13,0.25,0.25925925925925924,0.25833333333333336,u4,21.854734010334255,semeval2012,relbert_output/ckpt/bert_custom_c/epoch_2,average_no_mask,
14,0.32,0.304,0.3054545454545455,google,21.854734010334255,semeval2012,relbert_output/ckpt/bert_custom_c/epoch_2,average_no_mask,
15,0.7336683417085427,0.6937187326292384,0.6976976976976977,bats,15.407649945609178,semeval2012,relbert_output/ckpt/bert_custom_d/epoch_2,average_no_mask,
16,0.6216216216216216,0.5667655786350149,0.5721925133689839,sat,15.407649945609178,semeval2012,relbert_output/ckpt/bert_custom_d/epoch_2,average_no_mask,
17,0.4166666666666667,0.44298245614035087,0.44047619047619047,u2,15.407649945609178,semeval2012,relbert_output/ckpt/bert_custom_d/epoch_2,average_no_mask,
18,0.4791666666666667,0.4513888888888889,0.45416666666666666,u4,15.407649945609178,semeval2012,relbert_output/ckpt/bert_custom_d/epoch_2,average_no_mask,
19,0.94,0.83,0.84,google,15.407649945609178,semeval2012,relbert_output/ckpt/bert_custom_d/epoch_2,average_no_mask,
20,0.6633165829145728,0.6864924958310172,0.6841841841841841,bats,19.902200819570808,semeval2012,relbert_output/ckpt/bert_custom_e/epoch_2,average_no_mask,
21,0.5405405405405406,0.5459940652818991,0.5454545454545454,sat,19.902200819570808,semeval2012,relbert_output/ckpt/bert_custom_e/epoch_2,average_no_mask,
22,0.5,0.40350877192982454,0.4126984126984127,u2,19.902200819570808,semeval2012,relbert_output/ckpt/bert_custom_e/epoch_2,average_no_mask,
23,0.4791666666666667,0.47453703703703703,0.475,u4,19.902200819570808,semeval2012,relbert_output/ckpt/bert_custom_e/epoch_2,average_no_mask,
24,0.84,0.78,0.7854545454545454,google,19.902200819570808,semeval2012,relbert_output/ckpt/bert_custom_e/epoch_2,average_no_mask,
0,0.7236180904522613,0.6909394107837687,0.6941941941941941,bats,75.3769902096519,semeval2012,relbert_output/ckpt/roberta_custom_a/epoch_2,average_no_mask,
1,0.3783783783783784,0.5133531157270029,0.5,sat,75.3769902096519,semeval2012,relbert_output/ckpt/roberta_custom_a/epoch_2,average_no_mask,
2,0.5,0.4649122807017544,0.46825396825396826,u2,75.3769902096519,semeval2012,relbert_output/ckpt/roberta_custom_a/epoch_2,average_no_mask,
3,0.4375,0.4791666666666667,0.475,u4,75.3769902096519,semeval2012,relbert_output/ckpt/roberta_custom_a/epoch_2,average_no_mask,
4,0.8,0.814,0.8127272727272727,google,75.3769902096519,semeval2012,relbert_output/ckpt/roberta_custom_a/epoch_2,average_no_mask,
5,0.7236180904522613,0.7392996108949417,0.7377377377377378,bats,32.42754431615902,semeval2012,relbert_output/ckpt/roberta_custom_b/epoch_2,average_no_mask,
6,0.5675675675675675,0.5519287833827893,0.553475935828877,sat,32.42754431615902,semeval2012,relbert_output/ckpt/roberta_custom_b/epoch_2,average_no_mask,
7,0.5833333333333334,0.5570175438596491,0.5595238095238095,u2,32.42754431615902,semeval2012,relbert_output/ckpt/roberta_custom_b/epoch_2,average_no_mask,
8,0.5208333333333334,0.5486111111111112,0.5458333333333333,u4,32.42754431615902,semeval2012,relbert_output/ckpt/roberta_custom_b/epoch_2,average_no_mask,
9,0.9,0.852,0.8563636363636363,google,32.42754431615902,semeval2012,relbert_output/ckpt/roberta_custom_b/epoch_2,average_no_mask,
10,0.7989949748743719,0.8048916064480267,0.8043043043043043,bats,24.082477811016613,semeval2012,relbert_output/ckpt/roberta_custom_c/epoch_2,average_no_mask,
11,0.6486486486486487,0.655786350148368,0.6550802139037433,sat,24.082477811016613,semeval2012,relbert_output/ckpt/roberta_custom_c/epoch_2,average_no_mask,
12,0.7083333333333334,0.6271929824561403,0.6349206349206349,u2,24.082477811016613,semeval2012,relbert_output/ckpt/roberta_custom_c/epoch_2,average_no_mask,
13,0.6041666666666666,0.6157407407407407,0.6145833333333334,u4,24.082477811016613,semeval2012,relbert_output/ckpt/roberta_custom_c/epoch_2,average_no_mask,
14,0.96,0.914,0.9181818181818182,google,24.082477811016613,semeval2012,relbert_output/ckpt/roberta_custom_c/epoch_2,average_no_mask,
15,0.24120603015075376,0.2801556420233463,0.27627627627627627,bats,510.8977205300633,semeval2012,relbert_output/ckpt/roberta_custom_d/epoch_2,average_no_mask,
16,0.35135135135135137,0.2403560830860534,0.25133689839572193,sat,510.8977205300633,semeval2012,relbert_output/ckpt/roberta_custom_d/epoch_2,average_no_mask,
17,0.16666666666666666,0.22807017543859648,0.2222222222222222,u2,510.8977205300633,semeval2012,relbert_output/ckpt/roberta_custom_d/epoch_2,average_no_mask,
18,0.2708333333333333,0.2569444444444444,0.2583333333333333,u4,510.8977205300633,semeval2012,relbert_output/ckpt/roberta_custom_d/epoch_2,average_no_mask,
19,0.38,0.314,0.32,google,510.8977205300633,semeval2012,relbert_output/ckpt/roberta_custom_d/epoch_2,average_no_mask,
20,0.6733668341708543,0.7059477487493052,0.7027027027027027,bats,25.73778447018394,semeval2012,relbert_output/ckpt/roberta_custom_e/epoch_2,average_no_mask,
21,0.4594594594594595,0.5548961424332344,0.5454545454545454,sat,25.73778447018394,semeval2012,relbert_output/ckpt/roberta_custom_e/epoch_2,average_no_mask,
22,0.4583333333333333,0.5219298245614035,0.5158730158730159,u2,25.73778447018394,semeval2012,relbert_output/ckpt/roberta_custom_e/epoch_2,average_no_mask,
23,0.5833333333333334,0.5162037037037037,0.5229166666666667,u4,25.73778447018394,semeval2012,relbert_output/ckpt/roberta_custom_e/epoch_2,average_no_mask,
24,0.86,0.75,0.76,google,25.73778447018394,semeval2012,relbert_output/ckpt/roberta_custom_e/epoch_2,average_no_mask,
0,0.38190954773869346,0.2896053362979433,0.2987987987987988,bats,496.1662628560127,semeval2012,relbert_output/ckpt/roberta_auto_c822/epoch_2,average_no_mask,
1,0.21621621621621623,0.22551928783382788,0.22459893048128343,sat,496.1662628560127,semeval2012,relbert_output/ckpt/roberta_auto_c822/epoch_2,average_no_mask,
2,0.125,0.32456140350877194,0.3055555555555556,u2,496.1662628560127,semeval2012,relbert_output/ckpt/roberta_auto_c822/epoch_2,average_no_mask,
3,0.16666666666666666,0.2662037037037037,0.25625,u4,496.1662628560127,semeval2012,relbert_output/ckpt/roberta_auto_c822/epoch_2,average_no_mask,
4,0.24,0.292,0.2872727272727273,google,496.1662628560127,semeval2012,relbert_output/ckpt/roberta_auto_c822/epoch_2,average_no_mask,
