,distance_function,sat/test,u2/test,u4/test,google/test,bats/test,sat_full,loss,data,prompt,method,classification_loss,validation,loss_value,loss_name,loss_split,lexical_relation_classification/BLESS,lexical_relation_classification/CogALexV,lexical_relation_classification/EVALution,lexical_relation_classification/K&H+N,lexical_relation_classification/ROOT09,relation_mapping_accuracy
48,cosine_similarity,0.5222551928783383,0.4649122807017544,0.5277777777777778,0.768,0.6292384658143413,0.5213903743315508,nce,semeval2012,e,average,True,conceptnet,6.240993108504858,relbert/conceptnet_high_confidence,full,0.9121591080307367,0.8328638497652581,0.652762730227519,0.9641093413090353,0.8827953619554998,0.8159126984126984
49,cosine_similarity,0.5222551928783383,0.4649122807017544,0.5277777777777778,0.768,0.6292384658143413,0.5213903743315508,nce,semeval2012,e,average,True,,5.383709485611219,relbert/semeval2012_relational_similarity,validation,0.9121591080307367,0.8328638497652581,0.652762730227519,0.9641093413090353,0.8827953619554998,0.75625
50,cosine_similarity,0.6379821958456974,0.6403508771929824,0.6273148148148148,0.882,0.7354085603112841,0.6256684491978609,nce,semeval2012,e,average,False,conceptnet,5.895140166466053,relbert/conceptnet_high_confidence,full,0.926020792526744,0.8514084507042253,0.6868905742145178,0.955762676497183,0.898464431212786,0.8490079365079365
51,cosine_similarity,0.6023738872403561,0.5482456140350878,0.6111111111111112,0.86,0.7476375764313508,0.6016042780748663,nce,semeval2012,e,average,False,,4.973648451687245,relbert/semeval2012_relational_similarity,validation,0.9193912912460449,0.8481220657276995,0.685807150595883,0.962092230646171,0.898464431212786,0.848452380952381
52,cosine_similarity,0.5370919881305638,0.5526315789473685,0.5393518518518519,0.808,0.67982212340189,0.5320855614973262,nce,semeval2012,e,mask,True,conceptnet,6.276263585457435,relbert/conceptnet_high_confidence,full,0.9199939731806539,0.8643192488262911,0.6944745395449621,0.9670306739931835,0.8909432779692886,0.812936507936508
53,cosine_similarity,0.5222551928783383,0.5701754385964912,0.5555555555555556,0.83,0.6964980544747081,0.5213903743315508,nce,semeval2012,e,mask,True,,5.319228335712733,relbert/semeval2012_relational_similarity,validation,0.9285821907488323,0.8676056338028169,0.6939328277356447,0.9678653404743688,0.9025383892196804,0.8073809523809524
54,cosine_similarity,0.5905044510385756,0.631578947368421,0.6412037037037037,0.868,0.7509727626459144,0.5989304812834224,nce,semeval2012,e,mask,False,conceptnet,5.92840390633314,relbert/conceptnet_high_confidence,full,0.9352116920295314,0.8788732394366198,0.7074756229685807,0.9649440077902205,0.9100595424631777,0.8121428571428572
55,cosine_similarity,0.6172106824925816,0.6096491228070176,0.6203703703703703,0.924,0.7787659811006115,0.6122994652406417,nce,semeval2012,e,mask,False,,5.019965439700009,relbert/semeval2012_relational_similarity,validation,0.9328009642910954,0.8734741784037559,0.7004333694474539,0.9617444529456771,0.9081792541523034,0.8230555555555555
56,cosine_similarity,0.516320474777448,0.4605263157894737,0.5231481481481481,0.748,0.5958866036687048,0.5133689839572193,nce,semeval2012,e,average-no-mask,True,conceptnet,6.3221621207701855,relbert/conceptnet_high_confidence,full,0.9025161970769926,0.8328638497652581,0.6630552546045504,0.9562495652778744,0.8906298965841429,0.7637698412698413
57,cosine_similarity,0.516320474777448,0.4605263157894737,0.5231481481481481,0.748,0.5958866036687048,0.5133689839572193,nce,semeval2012,e,average-no-mask,True,,5.477437560477953,relbert/semeval2012_relational_similarity,validation,0.9025161970769926,0.8328638497652581,0.6630552546045504,0.9562495652778744,0.8906298965841429,0.7550595238095238
58,cosine_similarity,0.6261127596439169,0.618421052631579,0.6203703703703703,0.886,0.7498610339077265,0.6176470588235294,nce,semeval2012,e,average-no-mask,False,conceptnet,5.838537401113754,relbert/conceptnet_high_confidence,full,0.9199939731806539,0.8457746478873239,0.6684723726977249,0.959379564582319,0.9031651519899718,0.8450793650793651
59,cosine_similarity,0.5845697329376854,0.6052631578947368,0.6134259259259259,0.916,0.77431906614786,0.5828877005347594,nce,semeval2012,e,average-no-mask,False,,5.010155622878771,relbert/semeval2012_relational_similarity,validation,0.9207473255989151,0.8504694835680752,0.6863488624052004,0.9627877860471586,0.9053588216859918,0.8879761904761905
60,cosine_similarity,0.5222551928783383,0.4605263157894737,0.5347222222222222,0.878,0.7443023902167871,0.5320855614973262,nce,conceptnet-hc,a,average,False,,4.650789812991493,relbert/conceptnet_high_confidence,validation,0.8993521169202953,0.8438967136150235,0.66738894907909,0.9625095638867636,0.8959573801316203,0.8665079365079364
61,cosine_similarity,0.5727002967359051,0.6403508771929824,0.6342592592592593,0.93,0.7620900500277932,0.5748663101604278,nce,conceptnet-hc,a,mask,False,,4.445983924363789,relbert/conceptnet_high_confidence,validation,0.9251167696248305,0.8767605633802817,0.6912242686890574,0.9590317868818251,0.8947038545910373,0.806984126984127
62,cosine_similarity,0.4807121661721068,0.4824561403508772,0.5532407407407407,0.906,0.7459699833240689,0.4839572192513369,nce,conceptnet-hc,a,average-no-mask,False,,4.734389468243248,relbert/conceptnet_high_confidence,validation,0.9005574807895134,0.853755868544601,0.6419284940411701,0.9538151213744175,0.8931369476653087,0.8500793650793651
63,cosine_similarity,0.49554896142433236,0.5350877192982456,0.6064814814814815,0.926,0.7982212340188994,0.5106951871657754,nce,conceptnet-hc,b,average,False,,4.447605986344187,relbert/conceptnet_high_confidence,validation,0.9061322886846467,0.8483568075117371,0.6538461538461539,0.9576406760798497,0.8934503290504543,0.8097222222222222
64,cosine_similarity,0.5074183976261127,0.4868421052631579,0.5717592592592593,0.914,0.7837687604224569,0.5026737967914439,nce,conceptnet-hc,b,mask,False,,4.599117699422334,relbert/conceptnet_high_confidence,validation,0.9169805635076088,0.8615023474178404,0.6917659804983749,0.9652917854907144,0.9025383892196804,0.844484126984127
65,cosine_similarity,0.5252225519287834,0.5263157894736842,0.5717592592592593,0.894,0.7821011673151751,0.5294117647058824,nce,conceptnet-hc,b,average-no-mask,False,,4.510090834216068,relbert/conceptnet_high_confidence,validation,0.9020641856260359,0.846244131455399,0.6625135427952329,0.9580580093204424,0.8884362268881228,0.8198809523809524
66,cosine_similarity,0.5489614243323442,0.6096491228070176,0.6134259259259259,0.93,0.792106725958866,0.5454545454545454,nce,conceptnet-hc,c,average,False,,4.661923094799644,relbert/conceptnet_high_confidence,validation,0.9091456983576918,0.8744131455399061,0.6738894907908992,0.9601446755234054,0.9031651519899718,0.7826388888888889
67,cosine_similarity,0.49554896142433236,0.5657894736842105,0.5671296296296297,0.922,0.7893274041133963,0.4919786096256685,nce,conceptnet-hc,c,mask,False,,4.627564624736183,relbert/conceptnet_high_confidence,validation,0.9258701220430917,0.8748826291079812,0.6928494041170098,0.9662655630520971,0.9041052961454089,0.8642857142857143
68,cosine_similarity,0.49554896142433236,0.6271929824561403,0.6527777777777778,0.918,0.7937743190661478,0.4919786096256685,nce,conceptnet-hc,c,average-no-mask,False,,4.4673246207990145,relbert/conceptnet_high_confidence,validation,0.9215006780171764,0.8678403755868545,0.6825568797399784,0.962092230646171,0.9025383892196804,0.8786507936507937
69,cosine_similarity,0.5875370919881305,0.6535087719298246,0.6898148148148148,0.938,0.7732073374096721,0.5828877005347594,nce,conceptnet-hc,d,average,False,,4.551792860031128,relbert/conceptnet_high_confidence,validation,0.9177339159258702,0.8631455399061033,0.6706392199349945,0.961188008624887,0.8975242870573488,0.8258730158730159
70,cosine_similarity,0.5786350148367952,0.6140350877192983,0.6226851851851852,0.958,0.7787659811006115,0.5828877005347594,nce,conceptnet-hc,d,mask,False,,4.446319548707259,relbert/conceptnet_high_confidence,validation,0.9213500075335241,0.8814553990610329,0.7036836403033586,0.9632051192877513,0.9003447195236602,0.8807936507936508
71,cosine_similarity,0.5875370919881305,0.6447368421052632,0.6805555555555556,0.926,0.7937743190661478,0.5962566844919787,nce,conceptnet-hc,d,average-no-mask,False,,4.607994807393927,relbert/conceptnet_high_confidence,validation,0.9159258701220431,0.8685446009389672,0.6722643553629469,0.9610488975446895,0.898464431212786,0.8548412698412698
